<<<<<<< HEAD
condition_score,days_since_maintenance,defect_history,traffic_load,age_days,is_safety_critical,dept_eng,dept_smt,dept_trd,overdue_days
0.42,21,0,120,1825,1,1,0,0,3
0.55,42,0,120,1825,0,0,1,0,2
0.48,40,0,120,1825,0,0,0,1,4
0.68,88,0,120,1825,0,1,0,0,4
0.39,47,0,120,1825,0,0,1,0,6
0.61,113,0,120,1825,0,0,0,1,4
0.36,30,0,120,1825,1,1,0,0,4
0.74,162,0,120,1825,0,0,1,0,5
0.44,55,0,120,1825,0,1,0,0,6
0.51,42,0,120,1825,1,0,1,0,4
0.57,57,0,120,1825,0,0,0,1,4
0.71,102,0,120,1825,0,1,0,0,5
0.33,59,0,120,1825,1,0,1,0,6
0.66,128,0,120,1825,0,0,1,0,5
0.78,190,0,120,1825,0,1,0,0,6
0.63,83,0,120,1825,0,0,0,1,5
0.49,50,0,120,1825,0,1,0,0,4
0.29,19,0,120,1825,1,0,1,0,5
0.52,68,0,120,1825,0,0,0,1,4
0.73,116,0,120,1825,0,1,0,0,6
=======
condition_score,days_since_maintenance,defect_history,traffic_load,age_days,is_safety_critical,dept_eng,dept_smt,dept_trd,overdue_days,observation_timestamp,asset_id
0.64,166,4,96,4300,1,1,0,0,4,2024-01-02,AST_86
0.75,29,4,86,1527,0,0,1,0,24,2024-01-09,AST_101
0.69,187,4,105,1596,1,0,0,1,0,2024-01-22,AST_189
0.84,237,2,192,1585,0,0,0,1,0,2024-01-27,AST_199
0.45,258,0,124,3459,0,0,1,0,28,2024-02-02,AST_182
0.76,174,4,191,1660,0,0,0,1,0,2024-02-06,AST_99
0.91,187,4,165,4331,0,0,0,1,18,2024-02-07,AST_191
0.67,42,4,148,3077,0,0,0,1,0,2024-02-22,AST_8
0.67,21,2,57,2302,0,0,1,0,0,2024-02-23,AST_111
0.42,271,0,152,3316,0,0,1,0,0,2024-04-08,AST_144
0.9,96,4,155,3130,0,1,0,0,0,2024-04-08,AST_105
0.43,129,2,99,4299,0,0,1,0,0,2024-04-13,AST_132
0.49,101,4,70,1694,0,0,1,0,7,2024-04-21,AST_135
0.68,279,4,56,4522,0,0,1,0,0,2024-04-29,AST_113
0.94,36,1,70,3150,0,0,1,0,3,2024-05-02,AST_24
0.44,273,4,139,1912,0,1,0,0,0,2024-05-03,AST_41
0.41,90,2,82,3875,1,1,0,0,2,2024-05-09,AST_7
0.48,298,1,85,5146,0,0,0,1,5,2024-05-10,AST_108
0.86,251,4,98,2116,0,1,0,0,0,2024-05-14,AST_172
0.41,229,4,96,5103,0,0,1,0,27,2024-05-23,AST_36
0.45,148,3,126,4698,0,0,0,1,11,2024-05-23,AST_77
0.65,229,4,190,2710,1,1,0,0,17,2024-05-26,AST_55
0.65,295,1,158,2330,0,0,1,0,28,2024-05-27,AST_56
0.5,101,1,110,5203,1,0,0,1,0,2024-05-30,AST_66
0.89,238,3,151,3625,1,1,0,0,21,2024-05-31,AST_110
0.79,211,2,84,4717,0,0,1,0,0,2024-06-01,AST_148
0.42,45,4,131,4943,1,0,0,1,0,2024-06-08,AST_100
0.42,285,4,92,4191,0,1,0,0,18,2024-06-09,AST_157
0.41,173,4,96,3235,0,0,1,0,0,2024-06-11,AST_153
0.82,217,4,117,2335,0,0,1,0,0,2024-07-02,AST_22
0.96,226,4,187,2032,0,0,1,0,0,2024-07-05,AST_42
0.46,227,1,81,2801,1,0,1,0,0,2024-07-13,AST_175
0.71,167,2,194,2327,0,1,0,0,0,2024-07-16,AST_33
0.63,177,1,92,4357,0,0,1,0,9,2024-07-19,AST_40
0.55,261,1,161,3346,0,1,0,0,0,2024-07-21,AST_19
0.44,276,2,162,2454,0,0,1,0,16,2024-07-26,AST_107
0.58,280,2,157,4863,1,0,1,0,0,2024-08-12,AST_2
0.91,280,4,124,1983,1,0,0,1,0,2024-08-14,AST_134
0.51,95,4,179,2776,0,0,0,1,0,2024-08-17,AST_192
0.87,90,1,169,2358,0,0,1,0,14,2024-08-20,AST_102
0.84,289,4,165,1849,1,0,1,0,0,2024-09-03,AST_16
0.75,260,2,74,2085,0,0,1,0,4,2024-09-10,AST_92
0.41,42,2,107,4604,0,0,1,0,10,2024-09-10,AST_133
0.55,238,0,82,3834,0,1,0,0,11,2024-09-19,AST_73
0.59,167,1,51,3697,0,1,0,0,23,2024-10-03,AST_168
0.92,22,3,184,3687,0,0,0,1,4,2024-10-06,AST_29
0.63,223,0,128,4607,0,0,1,0,0,2024-10-09,AST_197
0.73,232,1,116,4222,1,0,0,1,27,2024-10-20,AST_27
0.59,240,1,175,3756,1,0,0,1,7,2024-10-24,AST_71
0.6,72,3,74,5215,1,1,0,0,23,2024-10-30,AST_91
0.87,161,4,61,4316,0,1,0,0,0,2024-11-21,AST_43
0.76,271,1,164,2983,0,0,1,0,0,2024-12-03,AST_150
0.76,295,2,101,1957,0,0,1,0,14,2024-12-03,AST_62
0.65,103,0,118,2634,0,1,0,0,0,2024-12-11,AST_79
